Index,Info,MeanBS,StdBS,MaxBS
52.0,3.0,164.87307499999994,40.51617013822228,203.235
53.0,1.0,175.73473749999997,33.722036094645794,211.335
54.0,1.0,165.00151249999996,41.665683512032345,248.8
55.0,0.0,204.67115,43.299425927805316,248.8
56.0,3.0,163.84096874999994,44.418110387602866,248.8
57.0,3.0,163.91121874999996,35.865606577484485,255.6
58.0,0.0,205.0642125,43.56987830132584,248.8
59.0,3.0,129.32775,32.16538710516321,223.3
60.0,3.0,136.70735625,17.830254196991586,201.97
61.0,2.0,159.65991875,25.98356711629773,253.385
62.0,1.0,198.43614375,43.42035678081293,248.8
63.0,3.0,132.42794374999997,33.66276343644541,242.205
64.0,1.0,132.413675,32.38234243661003,248.8
65.0,2.0,155.55869374999997,45.5799768032791,200.6
66.0,2.0,131.04831875,31.66742967276707,215.26
67.0,1.0,168.04141874999996,39.06890644929032,204.01
68.0,3.0,147.73824375,18.27529835452314,228.645
69.0,2.0,115.37510000000002,27.064190732220315,239.005
70.0,0.0,179.63205,42.85173967862915,248.8
71.0,1.0,205.75979375000003,42.77833560403222,248.8
72.0,2.0,163.86344374999996,42.08263015243742,211.5
73.0,1.0,206.05,42.71778727883736,248.8
74.0,3.0,162.66272499999997,44.12525648522482,207.625
75.0,1.0,170.30100625,43.50859360466862,248.8
76.0,3.0,167.04543124999995,40.235883458925976,209.885
77.0,2.0,129.37734375,34.179958998850275,200.6
78.0,3.0,144.74205,35.396064318438,251.025
79.0,2.0,119.44605625000004,25.161677595414535,200.6
80.0,2.0,155.26116249999995,45.97854958454642,200.6
81.0,2.0,204.8484375,42.96714126802124,255.6
82.0,3.0,145.437975,15.32041192002928,215.605
83.0,3.0,161.07608124999996,42.1041090793066,203.8
84.0,0.0,204.647875,43.58859769463081,248.8
85.0,0.0,164.15941249999997,41.15249589976097,203.505
86.0,2.0,174.00740624999997,33.262743624492416,200.6
87.0,3.0,166.52497499999996,43.753781655125245,248.8
88.0,2.0,127.78309375,39.432322838757045,223.2
89.0,3.0,147.78110625000005,17.22660453324918,235.295
90.0,2.0,205.9615375,42.73894748073581,248.8
91.0,0.0,152.04890625,40.53563944416642,248.8
92.0,2.0,137.1981375,34.934149105403925,239.61
93.0,2.0,168.31447499999996,39.71996651527258,211.5
94.0,3.0,150.03726875,18.36744310448582,228.585
95.0,2.0,167.99360624999997,38.663951320496345,225.7
96.0,3.0,167.6596999999999,38.824222851655385,247.0
97.0,1.0,151.02012499999995,40.410431619470174,248.8
98.0,2.0,153.0399875,23.65824616676697,248.8
99.0,0.0,206.0466125,42.74671960981151,248.8
100.0,0.0,205.61674375,42.13705529270628,248.8
101.0,2.0,206.05,42.71778727883736,248.8
102.0,1.0,168.79113124999995,38.45107278008018,223.2
