init_eps,min_eps,decay,alpha,gamma,rolling_mean,total_mean,total_std,percent_above_1.5,last_10_mean,last_10_std,rounds_to_stabilize
0.2,0.01,0.995,0.1,0.99,[1.48 1.44 1.44 ... 1.03 1.03 1.03],1.0238,0.35246781413343264,0.0075,1.019,0.31723650483511506,
0.2,0.01,0.995,0.01,0.0,[1.24 1.24 1.2  ... 1.04 1.03 1.03],1.021,0.33639114138157683,0.0068,1.017,0.28759520162895624,
0.2,0.01,0.995,0.01,0.9,[1.25 1.25 1.25 ... 1.04 1.04 1.04],1.0172,0.3138537238906048,0.0058,1.021,0.3139410772740643,
0.2,0.01,0.995,0.01,0.99,[1.23 1.24 1.24 ... 1.02 1.02 1.02],1.0163,0.3184875350779054,0.0059,1.016,0.28938555596297477,
0.2,0.01,0.995,0.001,0.0,[1.17 1.17 1.21 ... 1.03 1.03 1.03],1.018,0.31760982352565864,0.0061,1.023,0.36941981538623514,
0.2,0.01,0.995,0.001,0.9,[1.34 1.34 1.34 ... 0.99 0.99 0.99],1.0253,0.35869194303747604,0.0078,1.008,0.22789471253190585,
0.2,0.01,0.995,0.001,0.99,[1.14 1.14 1.14 ... 1.   1.   1.  ],1.0215,0.3415226932430699,0.007,1.009,0.2256523875344553,
0.2,0.01,0.9,0.1,0.0,[1.03 1.03 1.03 ... 1.03 1.03 1.03],1.0092,0.24231252547072352,0.0034,1.01,0.2643860813280457,
0.2,0.01,0.9,0.1,0.9,[0.99 0.99 0.99 ... 1.04 1.04 1.04],1.014,0.27893368387485945,0.0046,1.015,0.2911614672308134,
0.2,0.01,0.9,0.1,0.99,[1.1  1.06 1.06 ... 1.04 1.04 1.04],1.0128,0.27025203051966146,0.0043,1.008,0.22789471253190585,
0.2,0.01,0.9,0.01,0.0,[1.03 1.03 1.03 ... 1.04 1.04 1.04],1.0194,0.31658117442450684,0.006,1.014,0.2565229034608801,
0.2,0.01,0.9,0.01,0.9,[1.07 1.08 1.08 ... 1.03 1.03 1.03],1.0128,0.29160960203669567,0.0049,1.013,0.29467100298468457,
0.2,0.01,0.9,0.01,0.99,[1.02 0.97 0.97 ... 1.04 1.04 1.04],1.0161,0.29604187203839927,0.0052,1.019,0.31723650483511506,
0.2,0.01,0.9,0.001,0.0,[1.03 1.04 1.04 ... 1.11 1.11 1.11],1.0174,0.3004949916387959,0.0054,1.03,0.38613469152615637,
0.2,0.01,0.9,0.001,0.9,[0.99 0.99 0.99 ... 1.02 1.02 1.02],1.0132,0.2768135834817359,0.0045,1.022,0.34280606762424726,
0.2,0.01,0.9,0.001,0.99,[1.02 0.98 0.99 ... 1.   1.   1.  ],1.0137,0.2794857957034669,0.0046,1.021,0.3139410772740643,
0.2,0.01,0.5,0.1,0.0,[0.99 0.99 0.99 ... 1.04 1.04 1.04],1.015,0.2660357118884606,0.0043,1.017,0.2875952016289563,
0.2,0.01,0.5,0.1,0.9,[1.   1.   1.   ... 1.   0.99 0.99],1.0068,0.21249414109570172,0.0026,1.01,0.22338307903688676,
0.2,0.01,0.5,0.1,0.99,[1. 1. 1. ... 1. 1. 1.],1.014,0.2679626839692423,0.0043,1.006,0.18429324458590446,
0.2,0.01,0.5,0.01,0.0,[0.99 0.99 0.99 ... 1.04 1.04 1.04],1.0114,0.24590656762274574,0.0036,1.009,0.2256523875344553,
0.2,0.01,0.5,0.01,0.9,[0.99 0.99 0.99 ... 1.04 1.04 1.04],1.013,0.25461932369716167,0.0039,1.014,0.2565229034608801,
0.2,0.01,0.5,0.01,0.99,[1. 1. 1. ... 1. 1. 1.],1.005,0.19742087022399638,0.0022,0.994,0.0772269383052313,
0.2,0.01,0.5,0.001,0.0,[1.   1.   1.   ... 1.08 1.08 1.08],1.0071,0.20700142511586725,0.0025,1.009,0.22565238753445532,
0.2,0.01,0.5,0.001,0.9,[1.   1.   1.   ... 1.04 1.04 1.04],1.0093,0.23793593675609406,0.0033,1.019,0.31723650483511506,
0.2,0.01,0.5,0.001,0.99,[1.04 1.04 1.04 ... 1.   1.   1.  ],1.0088,0.22163609814287924,0.0029,1.018,0.28579013278977994,
